"exercise_wk1","exercise_wk2","exercise_wk3","exercise_wk4","exercise_wk5","exercise_wk6","exercise_wk7","exercise_wk8","exercise_wk9","exercise_wk10","exercise_wk11","exercise_wk12","exercise_wk13","exercise_wk14","exercise_wk15","happy_wk1","happy_wk2","happy_wk3","happy_wk4","happy_wk5","happy_wk6","happy_wk7","happy_wk8","happy_wk9","happy_wk10","happy_wk11","happy_wk12","happy_wk13","happy_wk14","happy_wk15","stressed_wk1","stressed_wk2","stressed_wk3","stressed_wk4","stressed_wk5","stressed_wk6","stressed_wk7","stressed_wk8","stressed_wk9","stressed_wk10","stressed_wk11","stressed_wk12","stressed_wk13","stressed_wk14","stressed_wk15","anxious_wk1","anxious_wk2","anxious_wk3","anxious_wk4","anxious_wk5","anxious_wk6","anxious_wk7","anxious_wk8","anxious_wk9","anxious_wk10","anxious_wk11","anxious_wk12","anxious_wk13","anxious_wk14","anxious_wk15","sex","age","academicclass","ethnicity","ethnicity_dummy","perceivedSES","mother_educationlevel","father_educationlevel","SES","bfi_e","bfi_a","bfi_c","bfi_n","bfi_o","bfi_1","bfi_2","bfi_3","bfi_4","bfi_5","bfi_6","bfi_7","bfi_8","bfi_9","bfi_10","bfi_11","bfi_12","bfi_13","bfi_14","bfi_15","bfi_16","bfi_17","bfi_18","bfi_19","bfi_20","bfi_21","bfi_22","bfi_23","bfi_24","bfi_25","bfi_26","bfi_27","bfi_28","bfi_29","bfi_30","bfi_31","bfi_32","bfi_33","bfi_34","bfi_35","bfi_36","bfi_37","bfi_38","bfi_39","bfi_40","bfi_41","bfi_42","bfi_43","bfi_44","cohort1","cohort2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,1,"2",0,3,6,5,0.336055522146236,2.375,4.33333333333333,3.33333333333333,3.5,3.4,2,4,5,3,4,4,5,4,2,4,3,1,4,4,4,4,4,3,4,4,4,4,2,3,3,1,1,4,3,4,4,5,2,2,4,3,1,4,3,5,4,4,4,2,0,0
0,0,0,0,0,,,,,2,1,,,,,3,3,3,3,3,,,,,3,3,,,,,3,4,2,5,3,,,,,3,3,,,,,4,4,2,4,3,,,,,3,3,,,,,1,18,1,"4",1,4,6,6,0.911000974155855,3.125,4.11111111111111,3,3.75,4.4,3,3,4,2,4,4,4,4,2,5,4,1,4,4,4,5,4,4,5,4,3,4,3,3,4,2,2,3,4,5,4,5,4,2,2,4,2,4,4,5,1,4,5,4,0,0
2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,18,1,"3",0,3,4,4,-0.389644002175272,3.25,4,3.33333333333333,3.125,3,4,2,3,2,3,3,4,4,3,4,4,2,4,4,3,4,4,2,3,3,3,4,3,4,3,3,2,3,3,3,4,4,4,2,4,3,2,4,4,4,4,4,3,3,0,0
0,0,0,0,0,0,,,,,,,,,,4,3,3,4,3,4,,,,,,,,,,3,3,3,4,4,4,,,,,,,,,,4,3,3,3,3,3,,,,,,,,,,1,18,1,"4",1,3,3,3,-0.866771414500656,3.125,3.77777777777778,3.77777777777778,3.125,3.1,3,3,4,2,3,3,4,2,3,4,3,2,4,3,3,3,5,2,4,3,3,4,3,4,3,3,2,4,3,4,3,5,4,3,4,4,4,5,5,3,3,3,4,3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,2,"4",1,5,5,5,0.780263713510828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,2,,,,1,,,1,,,,,,,,4,,,,3,,,4,,,,,,,,3,,,,4,,,3,,,,,,,,3,,,,4,,,3,,,,,,,1,19,2,"3",0,3,1,3,-1.3639156384929,2.375,5,3.55555555555556,2.625,4.2,2,1,3,1,4,2,5,2,2,4,3,1,5,1,4,3,5,4,4,4,4,5,2,4,4,3,1,4,2,5,5,5,5,3,2,1,1,3,4,4,1,5,4,4,0,0
,5,,,,,,,2,4,4,,,,,,5,,,,,,,4,5,4,,,,,,2,,,,,,,1,2,3,,,,,,2,,,,,,,2,1,2,,,,,1,18,1,"3",0,3,6,6,0.564610822475497,3.875,4.33333333333333,4.77777777777778,2.625,3.5,4,3,5,1,4,1,5,2,4,4,5,2,5,4,5,4,4,1,2,3,4,5,2,4,5,5,2,5,4,5,4,5,5,4,5,4,2,5,4,2,5,5,1,5,0,0
4,,1,3,4,3,,4,4,5,2,,,3,,2,,2,2,2,3,,3,5,3,1,,,4,,4,,4,4,4,5,,4,1,5,5,,,3,,4,,3,4,4,4,,3,2,2,5,,,5,,1,19,1,"3,4",0,3,5,6,0.316038710479374,3.5,3.22222222222222,3.11111111111111,4.125,4,5,4,4,5,4,3,4,4,1,4,3,3,4,4,4,3,4,2,5,4,3,4,4,2,5,4,2,2,4,4,3,4,4,4,4,4,4,4,4,4,1,2,4,4,0,0
3,2,3,1,,,,,,,,,,,,3,3,3,2,,,,,,,,,,,,3,3,3,4,,,,,,,,,,,,3,4,3,3,,,,,,,,,,,,1,19,2,"4",1,4,5,7,0.890984162488992,2.875,3.33333333333333,3.11111111111111,3.5,3.6,4,4,3,4,3,3,3,3,3,4,2,2,4,4,4,3,4,3,4,4,3,4,4,3,3,3,3,3,4,4,4,3,4,4,4,3,3,4,4,4,2,4,4,4,0,0
1,2,2,1,1,2,,,,,2,,,,,5,4,2,3,4,2,,,,,2,,,,,2,3,2,4,4,2,,,,,5,,,,,2,3,3,2,3,4,,,,,4,,,,,1,19,2,"2",0,3,5,5,0.0874834101501129,4,3,3.8,2.8,2.875,4,3,5,3,4,1,4,3,4,3,,3,3,,3,3,,,,,,,,,4,4,4,,3,2,1,4,5,4,4,3,4,3,4,4,5,,,,0,0
2,4,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,1,19,2,"3",0,4,7,6,1.15957308615198,4.125,3.55555555555556,3.55555555555556,3,3.6,5,4,5,2,4,3,4,4,4,4,4,2,4,3,4,4,4,3,4,4,2,4,3,2,4,4,3,4,3,3,2,5,4,4,3,5,4,4,4,4,2,4,3,2,0,0
0,,0,0,0,,,,,,0,,,0,,4,,3,3,3,,,,,,2,,,3,,2,,2,3,3,,,,,,2,,,2,,2,,2,2,2,,,,,,2,,,2,,0,18,1,"3,4",0,3,5,7,0.544594010808635,2.5,3.33333333333333,3.22222222222222,2.375,3.2,3,2,3,3,3,4,3,2,4,3,2,2,3,4,3,2,4,2,3,3,3,4,5,5,3,3,4,3,2,3,3,3,4,4,4,2,3,3,2,4,2,3,2,4,0,0
